"id","ts","target_ts","resource","input_value","predicted_value","actual_value","horizon_seconds","model_version"
9814,"2026-03-07 07:29:51.759343+00","2026-03-07 07:30:51.759343+00","cpu","0.000161775973027537","0.048551466315984726","0.00010430993536323781",60,"v20260306-_tuned_20260306-181039-0246"
9823,"2026-03-07 07:30:36.750995+00","2026-03-07 07:31:36.750995+00","cpu","0.00011966749948839173","0.048416417092084885","0.00018689454201452013",60,"v20260306-_tuned_20260306-181039-0246"
9824,"2026-03-07 07:30:36.763799+00","2026-03-07 07:31:36.763799+00","ram","29.9375","48.270782470703125","29.9375",60,"v20260306-_tuned_20260306-181039-0246"
9825,"2026-03-07 07:30:36.777085+00","2026-03-07 07:31:36.777085+00","rps","0.10000200004000082","514.4729614257812","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9829,"2026-03-07 07:31:06.766774+00","2026-03-07 07:32:06.766774+00","cpu","7.443894138593205e-05","0.048333000391721725","0.00013440264330617487",60,"v20260306-_tuned_20260306-181039-0246"
9830,"2026-03-07 07:31:06.780211+00","2026-03-07 07:32:06.780211+00","ram","29.9375","48.26314926147461","29.94140625",60,"v20260306-_tuned_20260306-181039-0246"
9831,"2026-03-07 07:31:06.796992+00","2026-03-07 07:32:06.796992+00","rps","0.1","514.2646484375","0.0999980000399992",60,"v20260306-_tuned_20260306-181039-0246"
9835,"2026-03-07 07:31:36.747511+00","2026-03-07 07:32:36.747511+00","cpu","0.00018689454201452013","0.04828767105937004","9.67927877990566e-05",60,"v20260306-_tuned_20260306-181039-0246"
9836,"2026-03-07 07:31:36.761298+00","2026-03-07 07:32:36.761298+00","ram","29.9375","48.258644104003906","29.9375",60,"v20260306-_tuned_20260306-181039-0246"
9837,"2026-03-07 07:31:36.776231+00","2026-03-07 07:32:36.776231+00","rps","0.1","514.1663818359375","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9841,"2026-03-07 07:32:06.75899+00","2026-03-07 07:33:06.75899+00","cpu","0.00013440264330617487","0.04832139238715172","0.00012775527308741524",60,"v20260306-_tuned_20260306-181039-0246"
9842,"2026-03-07 07:32:06.773799+00","2026-03-07 07:33:06.773799+00","ram","29.94140625","48.262508392333984","29.9375",60,"v20260306-_tuned_20260306-181039-0246"
9843,"2026-03-07 07:32:06.788188+00","2026-03-07 07:33:06.788188+00","rps","0.0999980000399992","514.3154296875","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9847,"2026-03-07 07:32:36.751234+00","2026-03-07 07:33:36.751234+00","cpu","9.67927877990566e-05","0.04829759523272514","0.0001568007744612132",60,"v20260306-_tuned_20260306-181039-0246"
9848,"2026-03-07 07:32:36.772964+00","2026-03-07 07:33:36.772964+00","ram","29.9375","48.25763702392578","29.9375",60,"v20260306-_tuned_20260306-181039-0246"
9849,"2026-03-07 07:32:36.785916+00","2026-03-07 07:33:36.785916+00","rps","0.1","514.3489379882812","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9853,"2026-03-07 07:33:06.752829+00","2026-03-07 07:34:06.752829+00","cpu","0.00012775527308741524","0.04828358814120293","0.00013410132184344618",60,"v20260306-_tuned_20260306-181039-0246"
9854,"2026-03-07 07:33:06.765454+00","2026-03-07 07:34:06.765454+00","ram","29.9375","48.25624465942383","30.234375",60,"v20260306-_tuned_20260306-181039-0246"
9855,"2026-03-07 07:33:06.777875+00","2026-03-07 07:34:06.777875+00","rps","0.1","514.3126831054688","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9859,"2026-03-07 07:33:36.761708+00","2026-03-07 07:34:36.761708+00","cpu","0.0001568007744612132","0.04827329143881798","0.00010793471461764577",60,"v20260306-_tuned_20260306-181039-0246"
