"id","ts","target_ts","input_cpu","input_ram","input_rps","predicted_cpu","actual_cpu","horizon_seconds","model_version"
1539,"2026-03-27 12:35:05.341945+00","2026-03-27 12:36:05.341945+00",1.589929393072764,50.9921875,27.841113644545782,2.370627838829924,0.06332943647182589,60,"v20260326-204532-4583"
1540,"2026-03-27 12:35:15.37509+00","2026-03-27 12:36:15.37509+00",0.9288905950096009,49.64453125,21.36,0.9301872712719275,0.06332943647182589,60,"v20260326-204532-4583"
1541,"2026-03-27 12:35:20.316878+00","2026-03-27 12:36:20.316878+00",0.9288905950096009,49.64453125,15.920636825473018,0.5102402267748951,0.05927834672227065,60,"v20260326-204532-4583"
1542,"2026-03-27 12:35:25.312299+00","2026-03-27 12:36:25.312299+00",0.9288905950096009,49.64453125,10.840433617344694,0.36997063879500125,0.05927834672227065,60,"v20260326-204532-4583"
1543,"2026-03-27 12:35:35.376318+00","2026-03-27 12:36:35.376318+00",0.0604740506329083,49.8828125,1.7200000000000002,0.01739113549288226,0.052301133469170764,60,"v20260326-204532-4583"
1544,"2026-03-27 12:35:40.321101+00","2026-03-27 12:36:40.321101+00",0.0604740506329083,49.8828125,1.24,0.023951712338078152,0.052301133469170764,60,"v20260326-204532-4583"
1545,"2026-03-27 12:35:55.383343+00","2026-03-27 12:36:55.383343+00",0.0517982560855318,49.625,1.28,0.04807134590745029,0.05781231919848674,60,"v20260326-204532-4583"
1546,"2026-03-27 12:36:05.351968+00","2026-03-27 12:37:05.351968+00",0.06332943647182589,49.6328125,1.36,0.06547931802695295,0.05781231919848674,60,"v20260326-204532-4583"
1547,"2026-03-27 12:36:10.342741+00","2026-03-27 12:37:10.342741+00",0.06332943647182589,49.6328125,1.32,0.06660546299749702,0.42263161212376177,60,"v20260326-204532-4583"
1548,"2026-03-27 12:36:15.313437+00","2026-03-27 12:37:15.313437+00",0.06332943647182589,49.6328125,1.36,0.06800823517617868,0.42263161212376177,60,"v20260326-204532-4583"
1549,"2026-03-27 12:36:25.383859+00","2026-03-27 12:37:25.383859+00",0.05927834672227065,49.38671875,1.3199472021119156,0.06252034330453278,1.3918225916052391,60,"v20260326-204532-4583"
1550,"2026-03-27 12:36:30.333771+00","2026-03-27 12:37:30.333771+00",0.05927834672227064,49.38671875,1.2000000000000002,0.053158163234331104,1.3918225916052391,60,"v20260326-204532-4583"
1551,"2026-03-27 12:36:35.317056+00","2026-03-27 12:37:35.317056+00",0.052301133469170764,49.62890625,1.2400496019840792,0.055434061025112176,1.3918225916052391,60,"v20260326-204532-4583"
1552,"2026-03-27 12:36:40.338014+00","2026-03-27 12:37:40.338014+00",0.052301133469170764,49.62890625,1.2000000000000002,0.05500833771135834,0.2889807402084321,60,"v20260326-204532-4583"
1553,"2026-03-27 12:36:45.336396+00","2026-03-27 12:37:45.336396+00",0.052301133469170764,49.62890625,1.28,0.0626532640245711,0.2889807402084321,60,"v20260326-204532-4583"
1554,"2026-03-27 12:36:55.350648+00","2026-03-27 12:37:55.350648+00",0.05781231919848674,49.3828125,1.3199472021119156,0.06519047104750865,0.2889807402084321,60,"v20260326-204532-4583"
1555,"2026-03-27 12:37:00.326646+00","2026-03-27 12:38:00.326646+00",0.05781231919848674,49.3828125,1.28,0.060603787463237205,0.054522267495870864,60,"v20260326-204532-4583"
1556,"2026-03-27 12:37:15.428038+00","2026-03-27 12:38:15.428038+00",0.42263161212376177,51.44921875,8.88,0.8508403681787784,0.055707293939136204,60,"v20260326-204532-4583"
1557,"2026-03-27 12:37:35.361191+00","2026-03-27 12:38:35.361191+00",1.3918225916052391,51.2421875,23.2,2.8886972758592715,0.0331229435136469,60,"v20260326-204532-4583"
1558,"2026-03-27 12:37:45.378718+00","2026-03-27 12:38:45.378718+00",0.2889807402084321,49.6484375,14.040000000000001,0.40431562506374596,0.05914612542389372,60,"v20260326-204532-4583"
1559,"2026-03-27 12:37:50.333138+00","2026-03-27 12:38:50.333138+00",0.2889807402084321,49.6484375,9.160366414656584,0.21168712989490704,0.05780252252251401,60,"v20260326-204532-4583"
1560,"2026-03-27 12:37:55.311567+00","2026-03-27 12:38:55.311567+00",0.2889807402084321,49.6484375,4.800000000000001,0.1381584369689437,0.05780252252251401,60,"v20260326-204532-4583"
1561,"2026-03-27 12:38:05.375007+00","2026-03-27 12:39:05.375007+00",0.054522267495870864,49.90234375,1.24,0.022074370508863333,0.035596720120114875,60,"v20260326-204532-4583"
1562,"2026-03-27 12:38:10.32099+00","2026-03-27 12:39:10.32099+00",0.054522267495870864,49.90234375,1.2000000000000002,0.0339915491701274,0.054415744790323725,60,"v20260326-204532-4583"
1563,"2026-03-27 12:38:15.315309+00","2026-03-27 12:39:15.315309+00",0.055707293939136204,49.65234375,1.2,0.0500049885130281,0.054415744790323725,60,"v20260326-204532-4583"
1564,"2026-03-27 12:38:20.331565+00","2026-03-27 12:39:20.331565+00",0.03850023929623602,49.65234375,1.1599536018559258,0.05064860770292013,0.06024842352251394,60,"v20260326-204532-4583"
1565,"2026-03-27 12:38:25.321618+00","2026-03-27 12:39:25.321618+00",0.05562985614608296,49.65234375,1.28,0.06503476517232502,0.06024842352251394,60,"v20260326-204532-4583"
1566,"2026-03-27 12:38:30.307175+00","2026-03-27 12:39:30.307175+00",0.042420546804195554,49.65234375,1.28,0.05679748579047443,0.06024842352251394,60,"v20260326-204532-4583"
1567,"2026-03-27 12:38:35.324317+00","2026-03-27 12:39:35.324317+00",0.0331229435136469,49.65234375,1.3199472021119156,0.05274408532725947,0.06024842352251394,60,"v20260326-204532-4583"
1568,"2026-03-27 12:38:45.353397+00","2026-03-27 12:39:45.353397+00",0.05914612542389372,50.1484375,1.360054402176087,0.05829239028084892,0.006189986376029398,60,"v20260326-204532-4583"
1569,"2026-03-27 12:38:55.380411+00","2026-03-27 12:39:55.380411+00",0.05780252252251401,49.65234375,1.28,0.046780756638580175,0.006189986376029398,60,"v20260326-204532-4583"
1570,"2026-03-27 12:39:00.328504+00","2026-03-27 12:40:00.328504+00",0.05780252252251401,49.65234375,1.2800512020480819,0.04520830158439177,0.002435922479832817,60,"v20260326-204532-4583"
1571,"2026-03-27 12:39:05.322611+00","2026-03-27 12:40:05.322611+00",0.035596720120114875,49.65234375,1.32,0.04607013034861275,0.002435922479832817,60,"v20260326-204532-4583"
1572,"2026-03-27 12:39:15.382196+00","2026-03-27 12:40:15.382196+00",0.054415744790323725,49.65234375,1.28,0.05176454471719602,0.0026061532815307062,60,"v20260326-204532-4583"
1573,"2026-03-27 12:39:25.388516+00","2026-03-27 12:40:25.388516+00",0.06024842352251394,49.90625,1.2799488020479182,0.053877679159469755,0.002606153281530706,60,"v20260326-204532-4583"
