,id,ts,target_ts,resource,input_value,predicted_value,actual_value,horizon_seconds,model_version
8260,8188,2026-03-07 05:14:21.753890+00:00,2026-03-07 05:15:21.75389+00,cpu,0.0067416062021081,0.0632675439119339,0.0076489442450989,60,v20260306-_tuned_20260306-181039-0246
8261,8189,2026-03-07 05:14:21.767425+00:00,2026-03-07 05:15:21.767425+00,ram,38.5546875,49.70459365844727,38.7109375,60,v20260306-_tuned_20260306-181039-0246
8262,8190,2026-03-07 05:14:21.781638+00:00,2026-03-07 05:15:21.781638+00,rps,35.64,538.2445678710938,35.77928441431171,60,v20260306-_tuned_20260306-181039-0246
8319,8191,2026-03-07 05:14:36.759167+00:00,2026-03-07 05:15:36.759167+00,cpu,0.0077819685580684,0.063535638153553,0.0063765414562395,60,v20260306-_tuned_20260306-181039-0246
8320,8192,2026-03-07 05:14:36.772850+00:00,2026-03-07 05:15:36.77285+00,ram,38.83984375,49.70287322998047,38.7109375,60,v20260306-_tuned_20260306-181039-0246
8321,8193,2026-03-07 05:14:36.785574+00:00,2026-03-07 05:15:36.785574+00,rps,36.17927641447171,539.265380859375,35.34,60,v20260306-_tuned_20260306-181039-0246
8263,8194,2026-03-07 05:14:51.756608+00:00,2026-03-07 05:15:51.756608+00,cpu,0.0079330276105815,0.0636663809418678,0.0063248384516334,60,v20260306-_tuned_20260306-181039-0246
8264,8195,2026-03-07 05:14:51.769159+00:00,2026-03-07 05:15:51.769159+00,ram,38.9375,49.7005615234375,38.265625,60,v20260306-_tuned_20260306-181039-0246
8265,8196,2026-03-07 05:14:51.783801+00:00,2026-03-07 05:15:51.783801+00,rps,35.96,539.890380859375,35.22,60,v20260306-_tuned_20260306-181039-0246
8322,8197,2026-03-07 05:15:06.758356+00:00,2026-03-07 05:16:06.758356+00,cpu,0.0075811492812514,0.0638675764203071,0.0075519875750207,60,v20260306-_tuned_20260306-181039-0246
8323,8198,2026-03-07 05:15:06.769126+00:00,2026-03-07 05:16:06.769126+00,ram,39.03125,49.699649810791016,38.921875,60,v20260306-_tuned_20260306-181039-0246
8324,8199,2026-03-07 05:15:06.783188+00:00,2026-03-07 05:16:06.783188+00,rps,35.94071881437629,540.8112182617188,34.44068881377628,60,v20260306-_tuned_20260306-181039-0246
8266,8200,2026-03-07 05:15:21.751067+00:00,2026-03-07 05:16:21.751067+00,cpu,0.0076489442450989,0.0635958015918731,0.0075370057998611,60,v20260306-_tuned_20260306-181039-0246
8267,8201,2026-03-07 05:15:21.765150+00:00,2026-03-07 05:16:21.76515+00,ram,38.7109375,49.67716979980469,40.23828125,60,v20260306-_tuned_20260306-181039-0246
8268,8202,2026-03-07 05:15:21.777700+00:00,2026-03-07 05:16:21.7777+00,rps,35.77928441431171,540.360107421875,34.72,60,v20260306-_tuned_20260306-181039-0246
8325,8203,2026-03-07 05:15:36.764632+00:00,2026-03-07 05:16:36.764632+00,cpu,0.0063765414562395,0.0635869428515434,0.0057133456068678,60,v20260306-_tuned_20260306-181039-0246
8326,8204,2026-03-07 05:15:36.778376+00:00,2026-03-07 05:16:36.778376+00,ram,38.7109375,49.67093276977539,40.23828125,60,v20260306-_tuned_20260306-181039-0246
8327,8205,2026-03-07 05:15:36.806772+00:00,2026-03-07 05:16:36.806772+00,rps,35.34,540.7345581054688,35.2,60,v20260306-_tuned_20260306-181039-0246
8269,8206,2026-03-07 05:15:51.752513+00:00,2026-03-07 05:16:51.752513+00,cpu,0.0063248384516334,0.0631125420331955,0.0075755985638663,60,v20260306-_tuned_20260306-181039-0246
8270,8207,2026-03-07 05:15:51.771684+00:00,2026-03-07 05:16:51.771684+00,ram,38.265625,49.63851547241211,39.921875,60,v20260306-_tuned_20260306-181039-0246
8271,8208,2026-03-07 05:15:51.784158+00:00,2026-03-07 05:16:51.784158+00,rps,35.22,539.718994140625,35.09929801403972,60,v20260306-_tuned_20260306-181039-0246
8328,8209,2026-03-07 05:16:06.774349+00:00,2026-03-07 05:17:06.774349+00,cpu,0.0075519875750207,0.0638679042458534,0.0076307970334061,60,v20260306-_tuned_20260306-181039-0246
8329,8210,2026-03-07 05:16:06.787928+00:00,2026-03-07 05:17:06.787928+00,ram,38.921875,49.65947723388672,40.296875,60,v20260306-_tuned_20260306-181039-0246
8330,8211,2026-03-07 05:16:06.801956+00:00,2026-03-07 05:17:06.801956+00,rps,34.44068881377628,541.7940063476562,35.400000000000006,60,v20260306-_tuned_20260306-181039-0246
8272,8212,2026-03-07 05:16:21.746848+00:00,2026-03-07 05:17:21.746848+00,cpu,0.0075370057998611,0.0654919818043708,0.0076134005536589,60,v20260306-_tuned_20260306-181039-0246
8273,8213,2026-03-07 05:16:21.761332+00:00,2026-03-07 05:17:21.761332+00,ram,40.23828125,49.75537109375,39.55078125,60,v20260306-_tuned_20260306-181039-0246
8274,8214,2026-03-07 05:16:21.775288+00:00,2026-03-07 05:17:21.775288+00,rps,34.72,546.0093383789062,34.399312013759726,60,v20260306-_tuned_20260306-181039-0246
8331,8215,2026-03-07 05:16:36.756686+00:00,2026-03-07 05:17:36.756686+00,cpu,0.0057133456068678,0.0659333392977714,0.0076541562722823,60,v20260306-_tuned_20260306-181039-0246
8332,8216,2026-03-07 05:16:36.770048+00:00,2026-03-07 05:17:36.770048+00,ram,40.23828125,49.80473709106445,40.2890625,60,v20260306-_tuned_20260306-181039-0246
