"id","ts","target_ts","resource","input_value","predicted_value","actual_value","horizon_seconds","model_version"
342,"2026-02-28 12:58:06.546033+00","2026-02-28 12:59:06.545403+00","rps","1235.5","0.25559836626052856","2281.7799999999997",60,"v0.0.0_placeholder"
343,"2026-02-28 12:58:21.521115+00","2026-02-28 12:59:21.52069+00","cpu","0.18501033599254635","0.07485848665237427","0.22379285729022683",60,"v0.0.0_placeholder"
344,"2026-02-28 12:58:21.552372+00","2026-02-28 12:59:21.551865+00","ram","67.50390625","0.5469158887863159","92.8359375",60,"v0.0.0_placeholder"
345,"2026-02-28 12:58:21.593728+00","2026-02-28 12:59:21.593167+00","rps","1894.5800000000004","0.2591436505317688","2267.08",60,"v0.0.0_placeholder"
346,"2026-02-28 12:58:36.511916+00","2026-02-28 12:59:36.511406+00","cpu","0.24303554115359685","0.07636365294456482","0.22097577426015141",60,"v0.0.0_placeholder"
347,"2026-02-28 12:58:36.54059+00","2026-02-28 12:59:36.540131+00","ram","76.5859375","0.5461148023605347","91.87109375",60,"v0.0.0_placeholder"
348,"2026-02-28 12:58:36.570531+00","2026-02-28 12:59:36.57008+00","rps","2209.42","0.2600158154964447","2264.48",60,"v0.0.0_placeholder"
349,"2026-02-28 12:58:51.52145+00","2026-02-28 12:59:51.520943+00","cpu","0.23448763597364794","0.07793354988098145","0.21949547567751437",60,"v0.0.0_placeholder"
350,"2026-02-28 12:58:51.550069+00","2026-02-28 12:59:51.54959+00","ram","81.19140625","0.5452792644500732","92.87890625",60,"v0.0.0_placeholder"
351,"2026-02-28 12:58:51.580593+00","2026-02-28 12:59:51.5802+00","rps","2376.6400000000003","0.2609254717826843","2272.56",60,"v0.0.0_placeholder"
352,"2026-02-28 12:59:06.530384+00","2026-02-28 13:00:06.529916+00","cpu","0.18352741011409046","0.06891575455665588","0.2185313078346699",60,"v0.0.0_placeholder"
353,"2026-02-28 12:59:06.553238+00","2026-02-28 13:00:06.552732+00","ram","91.2109375","0.5500787496566772","93.359375",60,"v0.0.0_placeholder"
354,"2026-02-28 12:59:06.573169+00","2026-02-28 13:00:06.572809+00","rps","2336.54","0.25570014119148254","2271.98",60,"v0.0.0_placeholder"
355,"2026-02-28 12:59:21.521517+00","2026-02-28 13:00:21.521032+00","cpu","0.22545502623811087","0.06878888607025146","0.21815407410758728",60,"v0.0.0_placeholder"
356,"2026-02-28 12:59:21.547418+00","2026-02-28 13:00:21.546877+00","ram","90.8984375","0.5501462817192078","92.52734375",60,"v0.0.0_placeholder"
357,"2026-02-28 12:59:21.576479+00","2026-02-28 13:00:21.576126+00","rps","2281.7799999999997","0.2556266188621521","2256.96",60,"v0.0.0_placeholder"
358,"2026-02-28 12:59:36.532484+00","2026-02-28 13:00:36.531998+00","cpu","0.22379285729022683","0.0686703622341156","0.2204939881801508",60,"v0.0.0_placeholder"
359,"2026-02-28 12:59:36.561475+00","2026-02-28 13:00:36.560999+00","ram","92.8359375","0.5502093434333801","93.28125",60,"v0.0.0_placeholder"
360,"2026-02-28 12:59:36.59168+00","2026-02-28 13:00:36.591219+00","rps","2267.08","0.25555795431137085","2284.3600000000006",60,"v0.0.0_placeholder"
361,"2026-02-28 12:59:51.534479+00","2026-02-28 13:00:51.534009+00","cpu","0.22097577426015141","0.0687045156955719","0.16178332024432443",60,"v0.0.0_placeholder"
362,"2026-02-28 12:59:51.557189+00","2026-02-28 13:00:51.55681+00","ram","91.87109375","0.5501911640167236","93.28125",60,"v0.0.0_placeholder"
363,"2026-02-28 12:59:51.585307+00","2026-02-28 13:00:51.58486+00","rps","2264.48","0.2555777430534363","2292.1",60,"v0.0.0_placeholder"
364,"2026-02-28 13:00:06.530368+00","2026-02-28 13:01:06.52982+00","cpu","0.21949547567751437","0.06867504119873047","0.2251424758398526",60,"v0.0.0_placeholder"
365,"2026-02-28 13:00:06.556876+00","2026-02-28 13:01:06.556396+00","ram","92.87890625","0.5502068996429443","92.23828125",60,"v0.0.0_placeholder"
366,"2026-02-28 13:00:06.593656+00","2026-02-28 13:01:06.593177+00","rps","2272.56","0.25556063652038574","2333.6000000000004",60,"v0.0.0_placeholder"
367,"2026-02-28 13:00:21.514569+00","2026-02-28 13:01:21.514048+00","cpu","0.2185313078346699","0.06865885853767395","0.22690349417637276",60,"v0.0.0_placeholder"
368,"2026-02-28 13:00:21.54035+00","2026-02-28 13:01:21.539882+00","ram","93.359375","0.550215482711792","92.23828125",60,"v0.0.0_placeholder"
369,"2026-02-28 13:00:21.565801+00","2026-02-28 13:01:21.565349+00","rps","2271.98","0.255551278591156","2333.42",60,"v0.0.0_placeholder"
370,"2026-02-28 13:00:36.54152+00","2026-02-28 13:01:36.541057+00","cpu","0.21815407410758728","0.06867024302482605","0.2256755888343803",60,"v0.0.0_placeholder"
